-9171,-7088,11276,58,32,73,528,563,570,528,529
-9011,-6808,11192,96,118,16,529,561,572,528,528
-9011,-6808,11192,96,118,16,529,561,572,528,528
-9171,-7216,11028,-102,147,29,529,559,572,528,529
-9043,-6988,11064,489,190,107,530,561,572,527,528
-9043,-6988,11064,489,190,107,530,561,572,527,528
-9179,-6664,11168,181,300,-218,531,560,571,529,529
-9227,-7012,11176,330,365,-367,531,563,571,528,527
-9227,-7012,11176,330,365,-367,531,563,571,528,527
-9023,-6928,10896,518,385,-534,532,560,571,528,526
-9295,-6980,11236,346,237,-497,532,559,570,527,528
-9179,-6980,10976,507,175,-297,532,561,571,529,528
-9179,-6980,10976,507,175,-297,532,561,571,529,528
-9651,-6808,10736,65,79,-156,532,562,571,527,526
-11235,-7156,10324,-430,-138,551,530,560,572,527,526
-11235,-7156,10324,-430,-138,551,530,560,572,527,526
-15395,-8792,8576,-3141,-572,2984,535,560,570,528,525
-15395,-8792,8576,-3141,-572,2984,535,560,570,528,525
-15631,-10312,7812,-2041,205,8799,533,559,568,528,526
-15187,-9140,8388,-2052,2208,14813,525,562,570,528,528
-13247,-7724,9460,-1686,4230,18052,527,561,571,528,527
-13247,-7724,9460,-1686,4230,18052,527,561,571,528,527
-12211,-5792,11428,-3895,5860,17914,534,561,575,529,530
-10231,-4680,12012,-6668,6427,15980,536,565,574,531,532
-10231,-4680,12012,-6668,6427,15980,536,565,574,531,532
-9095,-4452,11724,-5476,6523,14016,537,565,577,531,532
-8043,-3376,11888,-3879,5957,11183,535,565,575,532,535
-8043,-3376,11888,-3879,5957,11183,535,565,575,532,535
-6343,-1032,12816,-2072,5809,7384,539,570,574,532,533
-7015,-1652,13300,-2316,5509,3436,541,571,576,533,534
-6467,-3124,10204,2069,3670,1266,541,572,576,533,534
-6467,-3124,10204,2069,3670,1266,541,572,576,533,534
-7343,-1332,10040,3743,1729,-699,533,570,577,532,533
-8071,-1668,9588,2069,-265,-3782,534,571,576,532,534
-8071,-1668,9588,2069,-265,-3782,534,571,576,532,534
-8811,-3056,8964,3015,-2021,-5886,528,570,575,531,533
-8811,-3056,8964,3015,-2021,-5886,528,570,575,531,533
-9603,-3600,9156,6031,-3527,-7081,530,569,576,532,533
-10627,-3108,9320,6115,-4948,-8674,528,568,573,530,532
-10627,-3108,9320,6115,-4948,-8674,528,568,573,530,532
-11303,-3652,9284,3673,-6140,-10192,530,568,573,531,534
-11303,-3652,9284,3673,-6140,-10192,530,568,573,531,534
-11547,-5328,9048,2820,-6782,-11194,530,567,571,529,533
-11547,-5328,9048,2820,-6782,-11194,530,567,571,529,533
-12419,-6184,9424,3973,-6766,-10732,532,567,572,528,532
-12183,-6916,9536,4332,-6287,-9693,532,567,572,527,531
-12183,-6916,9536,4332,-6287,-9693,532,567,572,527,531
-12411,-6840,9960,4390,-5526,-7790,533,567,571,528,532
-12591,-6720,9976,4151,-5430,-7605,533,567,573,529,533
-12591,-6720,9976,4151,-5430,-7605,533,567,573,529,533
